57375	63223	61883	46004	54631	2949
57376	62947	24682	26254	40404	29761
57377	5661	62947	53271	41354	46583
57378	24682	26254	51033	13623	62947
57379	8241	51769	33205	43130	29178
57380	33914	29884	55200	7681	34074
57381	62833	32099	62465	56936	11560
57382	63142	23168	42740	14790	33913
57383	12835	12036	38945	52303	50928
57384	3614	15409	51348	62833	20456
57385	51364	14543	14042	36937	2269
57386	2061	54140	55387	21896	18266
57387	22982	23835	61046	42943	1038
57388	19236	12036	39962	3445	13476
57389	32519	47926	18580	30508	27732
57390	7473	51364	41386	26737	47691
57391	26254	24682	62947	25360	10904
57392	24531	2946	2061	42740	60454
57393	16282	28150	34268	15490	60454
57394	26254	14042	26544	51364	48393
57395	55797	42943	11573	26598	31972
57396	23819	54140	28150	56073	48939
57397	63223	5477	31189	28422	61883
57398	51494	23455	31189	13099	63223
57399	13099	29002	63019	62679	13943
57400	341	42747	56807	62842	7945
57401	31523	38945	14790	23819	53125
57402	42287	7473	63619	5661	20869
57403	24682	62947	26254	38152	49687
57404	33914	24531	1973	48322	34074
57405	63223	51494	46957	12668	33873
57406	5661	13623	62947	5540	38784
57407	33914	3407	3310	16660	64869
57408	25800	51364	31048	14543	21710
57409	26218	3445	6341	46095	19413
57410	60982	1973	8503	2575	19306
57411	4603	29920	33511	6726	62465
57412	19091	23168	10199	56189	56621
57413	63223	46957	12668	51494	5477
57414	3614	52303	36674	28237	11225
57415	51364	14543	14042	46230	26254
57416	23819	56073	31967	28150	48939
57417	61178	13623	41319	1102	1880
57418	19091	23168	10199	40649	5382
57419	1973	33914	34074	48322	39598
57420	23031	43416	48939	3310	45738
57421	6047	26218	47721	41879	10199
57422	56073	48939	23819	38529	28150
57423	51364	1973	22455	6908	41562
57424	23168	38945	14790	12036	31523
57425	1083	50919	21612	31972	11573
57426	48939	9955	62798	23031	13972
57427	26254	42619	62947	13372	24682
57428	45629	18038	56463	61178	37024
57429	28150	54140	23819	53054	22922
57430	13092	21687	39478	23595	32922
57431	33914	34074	3407	24045	32107
57432	13623	24682	62947	26254	40404
57433	1083	21612	50919	8404	38348
57434	61178	27577	40857	46133	59296
57435	61883	54631	31169	63484	28422
57436	28150	61883	23349	22922	60454
57437	13623	13092	60454	16282	32922
57438	23230	51364	8483	50290	24596
57439	33914	34074	7681	48322	24045
57440	20759	62842	13099	2998	62261
57441	59296	27500	62847	17377	62261
57442	61883	58099	3860	1719	45884
